ParticipantID,ConditionID,Age,Sex,Handedness,Sign-up From (CBU Panel/CBU Colleague/Friend),Date,Hour,Discrimination Task
1,1,18,Male,Right,CBU Panel,14.06.2024,11:00,1
2,2,19,Male,Right,Cambridge Undergraduate,20.06.2024,09:00,1
3,3,19,Male,Right,Cambridge Undergraduate,20.06.2024,10:30,1
4,4,18,Female,Right,Cambridge Undergraduate,20.06.2024,17:30,1
5,5,19,Male,Right,Cambridge Undergraduate,21.06.2024,09:00,1
6,6,19,Female,Right,Cambridge Undergraduate,21.06.2024,10:30,1
7,7,19,Female,Right,Cambridge Undergraduate,21.06.2024,17:30,1
8,8,19,Female,Left,Cambridge Undergraduate,22.06.2024,12:30,1
9,9,19,Female,Right,CBU Panel,24.06.2024,09:00,1
10,10,19,Female,Right,Cambridge Undergraduate,24.06.2024,10:30,1
11,11,35,Male,Right,Cambridge Undergraduate,26.06.2024,13:30,1
12,12,21,Male,Left,CBU Panel,26.06.2024,15:00,1
13,13,22,Female,Right,CBU Panel,26.06.2024,16:20,1
14,14,18,Female,Right,CBU Panel,10.07.2024,13:30,1
15,15,20,Female,Right,Cambridge Undergraduate,12.07.2024,10:30,1
16,16,18,Female,Right,CBU Panel,16.07.2024,02:30,1
17,17,25,Male,Right,CBU Panel,16.07.2024,04:00,1
18,18,19,Female,Right,CBU Panel,17.07.2024,10:30,1
19,19,19,Female,Right,CBU Panel,17.07.2024,12:00,1
20,20,22,Female,Right,CBU Panel,18.07.2024,10:30,1
21,21,23,Male,Left,CBU Panel,18.07.2024,12:30,1
22,22,25,Male,Right,CBU Panel,19.07.2024,09:00,1
23,23,18,Female,Right,CBU Panel,19.07.2024,11:00,1
24,24,20,Female,Right,CBU Colleague,23.07.2024,15:30,1
25,25,21,Female,Right,CBU Colleague,23.07.2024,16:30,1
26,26,23,Female,Right,CBU Panel,26.07.2024,12:00,1
27,27,23,Male,Right,CBU Panel,31.07.2024,13:30,1
28,28,25,Female,Right,CBU Panel,01.01.2024,12:30,1
29,29,24,Female,Right,CBU Panel,02.01.2024,11:00,1
30,30,20,Male,Right,CBU Panel,02.01.2024,14:00,1
31,31,19,Female,Right,CBU Panel,15.01.2024,11:30,1
32,32,22,Female,Right,CBU Panel,16.01.2024,13:00,1
33,33,20,Female,Right,CBU Panel,21.01.2024,11:00,1
34,34,18,Female,Right,CBU Panel,23.01.2024,13:00,1
35,35,21,Female,Right,CBU Colleague,23.01.2024,14:30,1
36,36,21,Female,Right,CBU Colleague,27.01.2024,11:00,1
37,37,22,Male,Right,CBU Panel,27.01.2024,12:30,1
38,38,22,Female,Right,CBU Colleague,18.09.2024,14:00,1
