Subject,Accuracy,Phase_offset_condition
1,0.322916667,0
2,0.385416667,0
3,0.354166667,0
4,0.354166667,0
5,0.34375,0
6,0.375,0
7,0.447916667,0
8,0.375,0
9,0.447916667,0
10,0.416666667,0
11,0.364583333,0
12,0.4375,0
13,0.416666667,0
14,0.46875,0
15,0.447916667,0
16,0.447916667,0
17,0.5,0
18,0.5,0
19,0.458333333,0
20,0.510416667,0
21,0.53125,0
22,0.552083333,0
23,0.552083333,0
24,0.541666667,0
1,0.40625,180
2,0.354166667,180
3,0.302083333,180
4,0.302083333,180
5,0.333333333,180
6,0.354166667,180
7,0.322916667,180
8,0.40625,180
9,0.34375,180
10,0.395833333,180
11,0.447916667,180
12,0.395833333,180
13,0.427083333,180
14,0.395833333,180
15,0.447916667,180
16,0.479166667,180
17,0.4375,180
18,0.4375,180
19,0.489583333,180
20,0.447916667,180
21,0.46875,180
22,0.510416667,180
23,0.520833333,180
24,0.583333333,180
