ParticipantID,TrialNumber,BlockNumber,Synchrony,ClipID,VideoFile,SoundFile,SoundCategory,SyncRating,Accuracy,RT,ConditionID,BlockDuration,ExperimentDuration,Condition
15,1,1,,24,1251_4Hz.avi,synth5_zero_4Hz.wav,synth,1,1,1.27164640000001,15,2.34017179166667,5.66538348333333,SyncTheta
15,2,2,,45,1228_4Hz.avi,acoustic32_zero_4Hz.wav,acoustic,2,0,0.449483500000042,15,2.34017179166667,5.66538348333333,SyncTheta
15,3,3,,46,1400_4Hz.avi,acoustic25_zero_4Hz.wav,acoustic,2,0,0.294480799999974,15,2.34017179166667,5.66538348333333,SyncTheta
15,4,,,7,1124_4Hz.avi,acoustic44_zero_4Hz.wav,acoustic,1,1,0.280668400000081,15,2.34017179166667,5.66538348333333,SyncTheta
15,5,,,34,1409_4Hz.avi,dar11_zero_4Hz.wav,dar,1,1,0.513887000000068,15,2.34017179166667,5.66538348333333,SyncTheta
15,6,,,63,1095_4Hz.avi,acoustic28_zero_4Hz.wav,acoustic,2,0,0.350544000000014,15,2.34017179166667,5.66538348333333,SyncTheta
15,7,,,62,1386_4Hz.avi,willow10_zero_4Hz.wav,willow,1,1,0.434853400000065,15,2.34017179166667,5.66538348333333,SyncTheta
15,8,,,60,1069_4Hz.avi,orch31_zero_4Hz.wav,orch,1,1,0.44438869999999,15,2.34017179166667,5.66538348333333,SyncTheta
15,9,,,12,1102_4Hz.avi,choir19_zero_4Hz.wav,choir,2,0,0.669775200000004,15,2.34017179166667,5.66538348333333,SyncTheta
15,10,,,55,1145_4Hz.avi,guitar37_zero_4Hz.wav,guitar,2,0,0.20755209999993,15,2.34017179166667,5.66538348333333,SyncTheta
15,11,,,41,1092_4Hz.avi,ep34_zero_4Hz.wav,ep,1,1,0.462045699999976,15,2.34017179166667,5.66538348333333,SyncTheta
15,12,,,43,1438_4Hz.avi,acoustic20_zero_4Hz.wav,acoustic,2,0,0.398834000000079,15,2.34017179166667,5.66538348333333,SyncTheta
15,13,,,36,1307_4Hz.avi,willow16_zero_4Hz.wav,willow,1,1,0.479293600000005,15,2.34017179166667,5.66538348333333,SyncTheta
15,14,,,10,1100_4Hz.avi,willow15_zero_4Hz.wav,willow,1,1,0.33347040000001,15,2.34017179166667,5.66538348333333,SyncTheta
15,15,,,47,1261_4Hz.avi,willow12_zero_4Hz.wav,willow,1,1,0.366239999999948,15,2.34017179166667,5.66538348333333,SyncTheta
15,16,,,40,1418_4Hz.avi,guitar31_zero_4Hz.wav,guitar,2,0,0.243005900000071,15,2.34017179166667,5.66538348333333,SyncTheta
15,1,,,28,1436_4Hz.avi,guitar48_oneeighty_4Hz.wav,guitar,2,1,0.309951599999977,15,1.38046654666667,5.66538348333333,AsyncTheta
15,2,,,29,1281_4Hz.avi,acoustic11_oneeighty_4Hz.wav,acoustic,2,1,0.222574300000019,15,1.38046654666667,5.66538348333333,AsyncTheta
15,3,,,57,1079_4Hz.avi,dar21_oneeighty_4Hz.wav,dar,2,1,0.406984200000011,15,1.38046654666667,5.66538348333333,AsyncTheta
15,4,,,16,1285_4Hz.avi,dar2_oneeighty_4Hz.wav,dar,2,1,1.28933589999997,15,1.38046654666667,5.66538348333333,AsyncTheta
15,5,,,42,1056_4Hz.avi,dar1_oneeighty_4Hz.wav,dar,1,0,0.281066699999997,15,1.38046654666667,5.66538348333333,AsyncTheta
15,6,,,38,1068_4Hz.avi,acoustic48_oneeighty_4Hz.wav,acoustic,2,1,0.329318999999941,15,1.38046654666667,5.66538348333333,AsyncTheta
15,7,,,49,1264_4Hz.avi,dar13_oneeighty_4Hz.wav,dar,2,1,0.277262300000075,15,1.38046654666667,5.66538348333333,AsyncTheta
15,8,,,64,1002_4Hz.avi,synth47_oneeighty_4Hz.wav,synth,1,0,0.385311399999978,15,1.38046654666667,5.66538348333333,AsyncTheta
15,9,,,17,1043_4Hz.avi,orch19_oneeighty_4Hz.wav,orch,2,1,0.58721509999998,15,1.38046654666667,5.66538348333333,AsyncTheta
15,10,,,53,1260_4Hz.avi,acoustic47_oneeighty_4Hz.wav,acoustic,2,1,0.30132279999998,15,1.38046654666667,5.66538348333333,AsyncTheta
15,11,,,9,1424_4Hz.avi,dar24_oneeighty_4Hz.wav,dar,2,1,0.219433500000036,15,1.38046654666667,5.66538348333333,AsyncTheta
15,12,,,56,1372_4Hz.avi,acoustic12_oneeighty_4Hz.wav,acoustic,2,1,0.324694700000009,15,1.38046654666667,5.66538348333333,AsyncTheta
15,13,,,51,1053_4Hz.avi,orch29_oneeighty_4Hz.wav,orch,1,0,0.382285699999898,15,1.38046654666667,5.66538348333333,AsyncTheta
15,14,,,32,1326_4Hz.avi,acoustic29_oneeighty_4Hz.wav,acoustic,2,1,0.340275899999938,15,1.38046654666667,5.66538348333333,AsyncTheta
15,15,,,37,1235_4Hz.avi,choir38_oneeighty_4Hz.wav,choir,1,0,0.348551300000054,15,1.38046654666667,5.66538348333333,AsyncTheta
15,16,,,21,1291_4Hz.avi,orch7_oneeighty_4Hz.wav,orch,1,0,0.287343499999906,15,1.38046654666667,5.66538348333333,AsyncTheta
15,1,,,48,1028_4Hz.avi,choir33_zero_4Hz.wav,choir,1,1,0.282605900000021,15,1.34677712166667,5.66538348333333,SyncTheta
15,2,,,19,1188_4Hz.avi,dar8_zero_4Hz.wav,dar,2,0,0.279159700000037,15,1.34677712166667,5.66538348333333,SyncTheta
15,3,,,14,1151_4Hz.avi,synth12_zero_4Hz.wav,synth,1,1,0.245922699999937,15,1.34677712166667,5.66538348333333,SyncTheta
15,4,,,23,1011_4Hz.avi,ep8_zero_4Hz.wav,ep,1,1,0.447711599999934,15,1.34677712166667,5.66538348333333,SyncTheta
15,5,,,5,1332_4Hz.avi,willow13_zero_4Hz.wav,willow,1,1,0.387498200000095,15,1.34677712166667,5.66538348333333,SyncTheta
15,6,,,50,1143_4Hz.avi,dar23_zero_4Hz.wav,dar,2,0,0.447294199999988,15,1.34677712166667,5.66538348333333,SyncTheta
15,7,,,58,1397_4Hz.avi,choir18_zero_4Hz.wav,choir,1,1,0.356138900000019,15,1.34677712166667,5.66538348333333,SyncTheta
15,8,,,33,1219_4Hz.avi,acoustic1_zero_4Hz.wav,acoustic,2,0,0.781153000000018,15,1.34677712166667,5.66538348333333,SyncTheta
15,9,,,3,1194_4Hz.avi,ep7_zero_4Hz.wav,ep,2,0,0.569131299999981,15,1.34677712166667,5.66538348333333,SyncTheta
15,10,,,31,1246_4Hz.avi,guitar33_zero_4Hz.wav,guitar,2,0,0.139540000000011,15,1.34677712166667,5.66538348333333,SyncTheta
15,11,,,39,1088_4Hz.avi,choir36_zero_4Hz.wav,choir,1,1,0.294414399999937,15,1.34677712166667,5.66538348333333,SyncTheta
15,12,,,22,1351_4Hz.avi,acoustic37_zero_4Hz.wav,acoustic,2,0,0.264319,15,1.34677712166667,5.66538348333333,SyncTheta
15,13,,,25,1402_4Hz.avi,choir2_zero_4Hz.wav,choir,1,1,0.246704799999975,15,1.34677712166667,5.66538348333333,SyncTheta
15,14,,,6,1226_4Hz.avi,ep15_zero_4Hz.wav,ep,1,1,0.342584999999985,15,1.34677712166667,5.66538348333333,SyncTheta
15,15,,,2,1371_4Hz.avi,synth43_zero_4Hz.wav,synth,2,0,0.242380899999944,15,1.34677712166667,5.66538348333333,SyncTheta
15,16,,,13,1075_4Hz.avi,ep10_zero_4Hz.wav,ep,2,0,0.312025800000015,15,1.34677712166667,5.66538348333333,SyncTheta
