ParticipantID,TrialNumber,BlockNumber,Synchrony,ClipID,VideoFile,SoundFile,SoundCategory,SyncRating,Accuracy,RT,ConditionID,BlockDuration,ExperimentDuration,Condition
30,1,1,,40,1418_4Hz.avi,willow20_oneeighty_4Hz.wav,willow,1,0,0.828561100000115,30,3.16574120666667,6.525793205,AsyncTheta
30,2,1,,2,1371_4Hz.avi,ep7_oneeighty_4Hz.wav,ep,2,1,0.538327799999934,30,3.16574120666667,6.525793205,AsyncTheta
30,3,1,,23,1011_4Hz.avi,orch38_oneeighty_4Hz.wav,orch,1,0,1.03202999999985,30,3.16574120666667,6.525793205,AsyncTheta
30,4,1,,7,1124_4Hz.avi,dar24_oneeighty_4Hz.wav,dar,2,1,1.68586720000008,30,3.16574120666667,6.525793205,AsyncTheta
30,5,1,,28,1436_4Hz.avi,guitar31_oneeighty_4Hz.wav,guitar,2,1,1.01195819999998,30,3.16574120666667,6.525793205,AsyncTheta
30,6,1,,26,1377_4Hz.avi,acoustic48_oneeighty_4Hz.wav,acoustic,2,1,0.351524200000085,30,3.16574120666667,6.525793205,AsyncTheta
30,7,1,,44,1257_4Hz.avi,orch14_oneeighty_4Hz.wav,orch,1,0,0.876393599999801,30,3.16574120666667,6.525793205,AsyncTheta
30,8,1,,45,1228_4Hz.avi,orch31_oneeighty_4Hz.wav,orch,2,1,0.648743500000137,30,3.16574120666667,6.525793205,AsyncTheta
30,9,1,,14,1151_4Hz.avi,dar8_oneeighty_4Hz.wav,dar,2,1,0.27930820000006,30,3.16574120666667,6.525793205,AsyncTheta
30,10,1,,32,1326_4Hz.avi,acoustic32_oneeighty_4Hz.wav,acoustic,2,1,1.98596759999987,30,3.16574120666667,6.525793205,AsyncTheta
30,11,1,,6,1226_4Hz.avi,choir4_oneeighty_4Hz.wav,choir,1,0,0.386466299999938,30,3.16574120666667,6.525793205,AsyncTheta
30,12,1,,33,1219_4Hz.avi,acoustic25_oneeighty_4Hz.wav,acoustic,2,1,0.38453770000001,30,3.16574120666667,6.525793205,AsyncTheta
30,1,2,,25,1402_4Hz.avi,choir38_zero_4Hz.wav,choir,1,1,0.272844500000019,30,1.01525425166667,6.525793205,SyncTheta
30,2,2,,8,1376_4Hz.avi,willow15_zero_4Hz.wav,willow,1,1,0.312788899999987,30,1.01525425166667,6.525793205,SyncTheta
30,3,2,,9,1424_4Hz.avi,orch1_zero_4Hz.wav,orch,2,0,0.407469100000071,30,1.01525425166667,6.525793205,SyncTheta
30,4,2,,48,1028_4Hz.avi,acoustic28_zero_4Hz.wav,acoustic,2,0,0.242295199999944,30,1.01525425166667,6.525793205,SyncTheta
30,5,2,,37,1235_4Hz.avi,dar23_zero_4Hz.wav,dar,2,0,0.449812300000076,30,1.01525425166667,6.525793205,SyncTheta
30,6,2,,4,1010_4Hz.avi,ep15_zero_4Hz.wav,ep,1,1,0.379580399999895,30,1.01525425166667,6.525793205,SyncTheta
30,7,2,,5,1332_4Hz.avi,acoustic44_zero_4Hz.wav,acoustic,1,1,0.994745499999908,30,1.01525425166667,6.525793205,SyncTheta
30,8,2,,35,1211_4Hz.avi,choir33_zero_4Hz.wav,choir,2,0,0.490616400000135,30,1.01525425166667,6.525793205,SyncTheta
30,9,2,,30,1282_4Hz.avi,dar1_zero_4Hz.wav,dar,1,1,0.305927799999836,30,1.01525425166667,6.525793205,SyncTheta
30,10,2,,39,1088_4Hz.avi,acoustic47_zero_4Hz.wav,acoustic,2,0,0.546921500000053,30,1.01525425166667,6.525793205,SyncTheta
30,11,2,,21,1291_4Hz.avi,acoustic11_zero_4Hz.wav,acoustic,1,1,0.276278400000137,30,1.01525425166667,6.525793205,SyncTheta
30,12,2,,19,1188_4Hz.avi,choir7_zero_4Hz.wav,choir,2,0,0.305800900000122,30,1.01525425166667,6.525793205,SyncTheta
30,1,3,,47,1261_4Hz.avi,willow10_oneeighty_4Hz.wav,willow,1,0,0.306310100000019,30,1.06160718666667,6.525793205,AsyncTheta
30,2,3,,15,1302_4Hz.avi,synth25_oneeighty_4Hz.wav,synth,2,1,0.281819999999925,30,1.06160718666667,6.525793205,AsyncTheta
30,3,3,,38,1068_4Hz.avi,orch29_oneeighty_4Hz.wav,orch,1,0,0.407867399999986,30,1.06160718666667,6.525793205,AsyncTheta
30,4,3,,11,1001_4Hz.avi,dar22_oneeighty_4Hz.wav,dar,1,0,0.569689499999868,30,1.06160718666667,6.525793205,AsyncTheta
30,5,3,,41,1092_4Hz.avi,guitar37_oneeighty_4Hz.wav,guitar,2,1,0.258542900000066,30,1.06160718666667,6.525793205,AsyncTheta
30,6,3,,10,1100_4Hz.avi,ep10_oneeighty_4Hz.wav,ep,1,0,0.299713099999963,30,1.06160718666667,6.525793205,AsyncTheta
